
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"4. Pullovers · Cable · 10 reps"
#;KG;REPS
1;50;8
2;50;8
3;50;10
"5. Curls · Barbell · 10 reps"
#;KG;REPS
1;22;10
2;22;10
3;22;10
"6. L-Sit Hold · Bodyweight · 30 sec"
#;SECS
1;13
2;10
3;6

"PerGlu · Day 3 · Week 5 · Voltando · Deload";"2024-08-09 12:36 h";"50 min"
"1. Leg Press · Machine · 10 reps"
#;KG;REPS
1;200;12
2;200;12
3;200;10
"2. Leg Curls on Leg Extension Machine · Machine · 10 reps"
#;KG;REPS
1;26;10
2;26;10
3;26;10
"3. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;62;10
2;62;10
3;62;12
"4. Hip Abduction · Cable · 10 reps"
#;KG;REPS
1;18;10
2;18;10
3;18;10

"PeiTriOm · Day 2 · Week 5 · Voltando · Deload";"2024-08-07 16:39 h";"48 min"
"1. Incline Archer Push-Ups · Bodyweight · 10 reps";"Barras novas, altura 5. Pouquinho abaixo do joelho. Depois aumentei pra 6, linha do joelho"
#;REPS
1;8
2;6
3;6
"2. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;8
2;+0;6
3;+0;5
"3. Seated Lateral Raises · Dumbbells · 10 reps"
#;KG;REPS
1;9;10
2;9;10
3;9;12
"4. Pike Push-Ups · Bodyweight · 10 reps";"Achando difícil pra caralho, desisti"
#;REPS
1;4
2;2
"5. Pseudo Planche Lean - Iso · Bodyweight";"Um palmo abaixo da linha do ombro"
#;SECS
1;10
2;6
3;6

"CosBi · Day 1 · Week 5 · Voltando · Deload";"2024-08-06 17:17 h";"1:01 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;5
3;+0;4
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight · 10 reps";"Na parede, nos equipamentos novos"
#;KG;REPS
1;+0;7
2;+0;7
3;+0;6
"3. Rows with Wide Neutral Grip · Cable · 10 reps"
#;KG;REPS
1;50;10
2;50;10
3;50;12
"4. Pullovers · Cable · 10 reps"
#;KG;REPS
1;50;8
2;50;8
3;50;8
"5. Curls · Barbell · 10 reps"
#;KG;REPS
1;22;10
2;22;10
3;22;5
"6. L-Sit Hold · Bodyweight · 30 sec"
#;SECS
1;10
2;8
3;5

"PerGlu · Day 3 · Week 4 · Voltando · Deload";"2024-08-02 15:18 h";"1:18 hr"
"1. Leg Press · Machine · 10 reps"
#;KG;REPS
1;194;12
2;194;12
3;200;11
"2. Leg Curls on Leg Extension Machine · Machine · 10 reps"
#;KG;REPS
1;26;10
2;26;10
3;26;8
"3. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;62;10
2;62;8
3;62;10
"4. Hip Abduction · Cable · 10 reps"
#;KG;REPS
1;17;12
2;17;12
3;17;12
"5. Leg Extensions · Machine · 10 reps"
#;KG;REPS
1;75;10
2;75;10
3;75;10
"6. Seated Leg Curls · Machine · 10 reps"
#;KG;REPS
1;67;10
2;67;10
3;67;12

"PeiTriOm · Day 2 · Week 4 · Voltando · Deload";"2024-07-31 16:49 h";"22 min"
"1. Archer Push-Ups · Bodyweight · 10 reps";"Na última eu usei os pesos em vez de apoiar no chão. Parece que dei um mau jeito na coluna, tô com um pouco de dor. Pegar leve hj"
#;REPS
1;6
2;4
3;3

"CosBi · Day 1 · Week 4 · Voltando · Deload";"2024-07-29 15:40 h";"33 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps";"Me sentindo super fraco hj sei lá. Meio abaixando a pressão"
#;KG;REPS
1;+0;6
2;+0;3
3;+0;2
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;12
2;+0;7
3;+0;7
"3. Rows with Wide Neutral Grip · Cable · 10 reps"
#;KG;REPS
1;50;12
2;50;5
"4. Curls · Barbell · 10 reps"
#;KG;REPS
1;22;10
2;22;6

"PerGlu · Day 3 · Week 3 · Voltando · Deload";"2024-07-26 19:35 h";"1:09 hr"
"1. Hip Abduction · Cable · 8 reps";"Tive que trocar a ordem e começar por ele, por isso mais fácil talvez"
#;KG;REPS
1;17;10
2;17;10
3;17;10
"2. Seated Calf Raises · Machine · 8 reps"
#;KG;REPS
1;60;10
2;60;10
3;60;10
"3. Leg Press · Machine · 8 reps";"Na outra máquina"
#;KG;REPS
1;120;10
2;120;10
3;120;10
"4. Leg Curls on Leg Extension Machine · Machine · 10 reps"
#;KG;REPS
1;25;10
2;25;10
3;25;10
"5. Leg Extensions · Machine · 8 reps"
#;KG;REPS
1;70;10
2;70;10
3;75;10
"6. L-Sit Hold · Bodyweight"
#;SECS
1;8
2;5
3;4
"7. Seated Leg Curls · Machine · 8 reps"
#;KG;REPS
1;70;8
2;70;8
3;70;6

"PeiTriOm · Day 2 · Week 3 · Voltando · Deload";"2024-07-25 16:07 h";"59 min"
"1. Archer Push-Ups · Bodyweight · 8 reps";"Perna aberta, linha do ombro +-"
#;REPS
1;5
2;4
3;2
"2. Incline Bench Press · Barbell · 8 reps"
#;KG;REPS
1;36;10
2;36;10
3;36;10
"3. Triceps Pushdowns · Cable · 8 reps"
#;KG;REPS
1;47;8
2;47;8
3;47;8
"4. Seated Lateral Raises · Dumbbells · 8 reps"
#;KG;REPS
1;9;8
