
"4. Butterfly with Wide Grip · Machine";"3 sets";"15 reps"
"5. Lateral Raises · Dumbbells";"3 sets";"15 reps"
"6. Assisted Dips · Machine";"3 sets";"10 reps"
"Day 2 · Day 2 - Costas Bíceps Triceps"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"2. Chest-Supported Low Rows with Neutral Grip · Machine";"3 sets";"12 reps"
"3. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"4. Curls · EZ bar";"3 sets";"10 reps"
"5. Rows with Wide Neutral Grip · Cable";"3 sets";"12 reps"
"6. Curls · Dumbbells";"3 sets";"12 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"10 reps"
"Day 3 · Day 3"
"1. Leg Press · Machine";"3 sets";"15 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"15 reps"
"3. Hip Adduction · Machine";"3 sets";"15 reps"
"4. Hip Abduction · Machine";"3 sets";"15 reps"
"5. Leg Extensions · Machine";"3 sets";"15 reps"
"6. Leg Curls on Leg Extension Machine · Machine";"3 sets";"15 reps"

